K: Strike price,S_t: Current stock price,T: expiration date,r: Interest rate,Market option price
1280,1276.56,0.046575,0.0026398,11.9
1285,1276.56,0.046575,0.0026398,9.35
1290,1276.56,0.046575,0.0026398,7.35
1295,1276.56,0.046575,0.0026398,5.75
1300,1276.56,0.046575,0.0026398,4.2
1305,1276.56,0.046575,0.0026398,3.175
1310,1276.56,0.046575,0.0026398,2.3
1315,1276.56,0.046575,0.0026398,1.75
1320,1276.56,0.046575,0.0026398,1.3
1325,1276.56,0.046575,0.0026398,0.85
1330,1276.56,0.046575,0.0026398,0.775
1275,1276.56,0.12329,0.0029807,26.35
1280,1276.56,0.12329,0.0029807,23.2
1285,1276.56,0.12329,0.0029807,20.85
1290,1276.56,0.12329,0.0029807,18.45
1295,1276.56,0.12329,0.0029807,16.15
1300,1276.56,0.12329,0.0029807,14.25
1310,1276.56,0.12329,0.0029807,10.25
1315,1276.56,0.12329,0.0029807,9.05
1320,1276.56,0.12329,0.0029807,7.65
1325,1276.56,0.12329,0.0029807,6.2
1330,1276.56,0.12329,0.0029807,5.45
1335,1276.56,0.12329,0.0029807,4.55
1340,1276.56,0.12329,0.0029807,4
1345,1276.56,0.12329,0.0029807,3.2
1350,1276.56,0.12329,0.0029807,2.625
1355,1276.56,0.12329,0.0029807,2.15
1360,1276.56,0.12329,0.0029807,1.8
1365,1276.56,0.12329,0.0029807,1.475
1370,1276.56,0.12329,0.0029807,1.175
1375,1276.56,0.12329,0.0029807,0.975
1275,1276.56,0.2,0.0031533,35.1
1280,1276.56,0.2,0.0031533,32.35
1300,1276.56,0.2,0.0031533,22.4
1305,1276.56,0.2,0.0031533,20.35
1320,1276.56,0.2,0.0031533,14.8
1325,1276.56,0.2,0.0031533,13.15
1340,1276.56,0.2,0.0031533,9.2
1350,1276.56,0.2,0.0031533,6.95
1360,1276.56,0.2,0.0031533,5.25
1370,1276.56,0.2,0.0031533,4
1375,1276.56,0.2,0.0031533,3.425
1380,1276.56,0.2,0.0031533,2.975
1390,1276.56,0.2,0.0031533,2.225
1275,1276.56,0.27671,0.0033173,43.95
1300,1276.56,0.27671,0.0033173,30.95
1325,1276.56,0.27671,0.0033173,20.3
1350,1276.56,0.27671,0.0033173,12.7
1375,1276.56,0.27671,0.0033173,7.8
1275,1276.56,0.44932,0.003755,59.55
1300,1276.56,0.44932,0.003755,46.45
1325,1276.56,0.44932,0.003755,35.35
1375,1276.56,0.44932,0.003755,18.45
1275,1276.56,0.69863,0.0042389,77.7
1300,1276.56,0.69863,0.0042389,64.55
1375,1276.56,0.69863,0.0042389,33.4
1275,1276.56,0.94795,0.0049009,91.2
1300,1276.56,0.94795,0.0049009,78.05
1325,1276.56,0.94795,0.0049009,66.05
1350,1276.56,0.94795,0.0049009,55